Page,Hits
1,1063
2,751
3,614
4,531
5,475
6,434
7,402
8,376
9,354
10,336
11,320
12,307
13,295
14,284
15,274
16,266
17,258
18,250
19,244
20,238
21,232
22,227
23,222
24,217
25,213
26,208
27,205
28,201
29,197
30,194
31,191
32,188
33,185
34,182
35,180
36,177
37,175
38,172
39,170
40,168
41,166
42,164
43,162
44,160
45,158
46,157
47,155
48,153
49,152
50,150
51,149
52,147
53,146
54,145
55,143
56,142
57,141
58,140
59,138
60,137
61,136
62,135
63,134
64,133
65,132
66,131
67,130
68,129
69,128
70,127
71,126
72,125
73,124
74,124
75,123
76,122
77,121
78,120
79,120
80,119
81,118
82,117
83,117
84,116
85,115
86,115
87,114
88,113
89,113
90,112
91,111
92,111
93,110
94,110
95,109
96,108
97,108
98,107
99,107
100,106
101,106
102,105
103,105
104,104
105,104
106,103
107,103
108,102
109,102
110,101
111,101
112,100
113,100
114,100
115,99
116,99
117,98
118,98
119,97
120,97
121,97
122,96
123,96
124,95
125,95
126,95
127,94
128,94
129,94
130,93
131,93
132,93
133,92
134,92
135,91
136,91
137,91
138,90
139,90
140,90
141,89
142,89
143,89
144,89
145,88
146,88
147,88
148,87
149,87
150,87
151,86
152,86
153,86
154,86
155,85
156,85
157,85
158,85
159,84
160,84
161,84
162,83
163,83
164,83
165,83
166,82
167,82
168,82
169,82
170,82
171,81
172,81
173,81
174,81
175,80
176,80
177,80
178,80
179,79
180,79
181,79
182,79
183,79
184,78
185,78
186,78
187,78
188,78
189,77
190,77
191,77
192,77
193,76
194,76
195,76
196,76
197,76
198,76
199,75
200,75
201,75
202,75
203,75
204,74
205,74
206,74
207,74
208,74
209,74
210,73
211,73
212,73
213,73
214,73
215,72
216,72
217,72
218,72
219,72
220,72
221,71
222,71
223,71
224,71
225,71
226,71
227,71
228,70
229,70
230,70
231,70
232,70
233,70
234,69
235,69
236,69
237,69
238,69
239,69
240,69
241,68
242,68
243,68
244,68
245,68
246,68
247,68
248,67
249,67
250,67
251,67
252,67
253,67
254,67
255,67
256,66
257,66
258,66
259,66
260,66
261,66
262,66
263,66
264,65
265,65
266,65
267,65
268,65
269,65
270,65
271,65
272,64
273,64
274,64
275,64
276,64
277,64
278,64
279,64
280,64
281,63
282,63
283,63
284,63
285,63
286,63
287,63
288,63
289,63
290,62
291,62
292,62
293,62
294,62
295,62
296,62
297,62
298,62
299,61
300,61
301,61
302,61
303,61
304,61
305,61
306,61
307,61
308,61
309,60
310,60
311,60
312,60
313,60
314,60
315,60
316,60
317,60
318,60
319,60
320,59
321,59
322,59
323,59
324,59
325,59
326,59
327,59
328,59
329,59
330,59
331,58
332,58
333,58
334,58
335,58
336,58
337,58
338,58
339,58
340,58
341,58
342,57
343,57
344,57
345,57
346,57
347,57
348,57
349,57
350,57
351,57
352,57
353,57
354,56
355,56
356,56
357,56
358,56
359,56
360,56
361,56
362,56
363,56
364,56
365,56
366,56
367,55
368,55
369,55
370,55
371,55
372,55
373,55
374,55
375,55
376,55
377,55
378,55
379,55
380,55
381,54
382,54
383,54
384,54
385,54
386,54
387,54
388,54
389,54
390,54
391,54
392,54
393,54
394,54
395,53
396,53
397,53
398,53
399,53
400,53
401,53
402,53
403,53
404,53
405,53
406,53
407,53
408,53
409,53
410,52
411,52
412,52
413,52
414,52
415,52
416,52
417,52
418,52
419,52
420,52
421,52
422,52
423,52
424,52
425,52
426,51
427,51
428,51
429,51
430,51
431,51
432,51
433,51
434,51
435,51
436,51
437,51
438,51
439,51
440,51
441,51
442,51
443,50
444,50
445,50
446,50
447,50
448,50
449,50
450,50
451,50
452,50
453,50
454,50
455,50
456,50
457,50
458,50
459,50
460,50
461,49
462,49
463,49
464,49
465,49
466,49
467,49
468,49
469,49
470,49
471,49
472,49
473,49
474,49
475,49
476,49
477,49
478,49
479,49
480,49
481,48
482,48
483,48
484,48
485,48
486,48
487,48
488,48
489,48
490,48
491,48
492,48
493,48
494,48
495,48
496,48
497,48
498,48
499,48
500,48
501,47
502,47
503,47
504,47
505,47
506,47
507,47
508,47
509,47
510,47
511,47
512,47
513,47
514,47
515,47
516,47
517,47
518,47
519,47
520,47
521,47
522,47
523,46
524,46
525,46
526,46
527,46
528,46
529,46
530,46
531,46
532,46
533,46
534,46
535,46
536,46
537,46
538,46
539,46
540,46
541,46
542,46
543,46
544,46
545,46
546,45
547,45
548,45
549,45
550,45
551,45
552,45
553,45
554,45
555,45
556,45
557,45
558,45
559,45
560,45
561,45
562,45
563,45
564,45
565,45
566,45
567,45
568,45
569,45
570,45
571,44
572,44
573,44
574,44
575,44
576,44
577,44
578,44
579,44
580,44
581,44
582,44
583,44
584,44
585,44
586,44
587,44
588,44
589,44
590,44
591,44
592,44
593,44
594,44
595,44
596,44
597,43
598,43
599,43
600,43
601,43
602,43
603,43
604,43
605,43
606,43
607,43
608,43
609,43
610,43
611,43
612,43
613,43
614,43
615,43
616,43
617,43
618,43
619,43
620,43
621,43
622,43
623,43
624,43
625,43
626,42
627,42
628,42
629,42
630,42
631,42
632,42
633,42
634,42
635,42
636,42
637,42
638,42
639,42
640,42
641,42
642,42
643,42
644,42
645,42
646,42
647,42
648,42
649,42
650,42
651,42
652,42
653,42
654,42
655,42
656,41
657,41
658,41
659,41
660,41
661,41
662,41
663,41
664,41
665,41
666,41
667,41
668,41
669,41
670,41
671,41
672,41
673,41
674,41
675,41
676,41
677,41
678,41
679,41
680,41
681,41
682,41
683,41
684,41
685,41
686,41
687,41
688,41
689,40
690,40
691,40
692,40
693,40
694,40
695,40
696,40
697,40
698,40
699,40
700,40
701,40
702,40
703,40
704,40
705,40
706,40
707,40
708,40
709,40
710,40
711,40
712,40
713,40
714,40
715,40
716,40
717,40
718,40
719,40
720,40
721,40
722,40
723,40
724,39
725,39
726,39
727,39
728,39
729,39
730,39
731,39
732,39
733,39
734,39
735,39
736,39
737,39
738,39
739,39
740,39
741,39
742,39
743,39
744,39
745,39
746,39
747,39
748,39
749,39
750,39
751,39
752,39
753,39
754,39
755,39
756,39
757,39
758,39
759,39
760,39
761,39
762,38
763,38
764,38
765,38
766,38
767,38
768,38
769,38
770,38
771,38
772,38
773,38
774,38
775,38
776,38
777,38
778,38
779,38
780,38
781,38
782,38
783,38
784,38
785,38
786,38
787,38
788,38
789,38
790,38
791,38
792,38
793,38
794,38
795,38
796,38
797,38
798,38
799,38
800,38
801,38
802,38
803,38
804,37
805,37
806,37
807,37
808,37
809,37
810,37
811,37
812,37
813,37
814,37
815,37
816,37
817,37
818,37
819,37
820,37
821,37
822,37
823,37
824,37
825,37
826,37
827,37
828,37
829,37
830,37
831,37
832,37
833,37
834,37
835,37
836,37
837,37
838,37
839,37
840,37
841,37
842,37
843,37
844,37
845,37
846,37
847,37
848,36
849,36
850,36
851,36
852,36
853,36
854,36
855,36
856,36
857,36
858,36
859,36
860,36
861,36
862,36
863,36
864,36
865,36
866,36
867,36
868,36
869,36
870,36
871,36
872,36
873,36
874,36
875,36
876,36
877,36
878,36
879,36
880,36
881,36
882,36
883,36
884,36
885,36
886,36
887,36
888,36
889,36
890,36
891,36
892,36
893,36
894,36
895,36
896,36
897,35
898,35
899,35
900,35
901,35
902,35
903,35
904,35
905,35
906,35
907,35
908,35
909,35
910,35
911,35
912,35
913,35
914,35
915,35
916,35
917,35
918,35
919,35
920,35
921,35
922,35
923,35
924,35
925,35
926,35
927,35
928,35
929,35
930,35
931,35
932,35
933,35
934,35
935,35
936,35
937,35
938,35
939,35
940,35
941,35
942,35
943,35
944,35
945,35
946,35
947,35
948,35
949,34
950,34
951,34
952,34
953,34
954,34
955,34
956,34
957,34
958,34
959,34
960,34
961,34
962,34
963,34
964,34
965,34
966,34
967,34
968,34
969,34
970,34
971,34
972,34
973,34
974,34
975,34
976,34
977,34
978,34
979,34
980,34
981,34
982,34
983,34
984,34
985,34
986,34
987,34
988,34
989,34
990,34
991,34
992,34
993,34
994,34
995,34
996,34
997,34
998,34
999,34
