ProcessedItems,instantaneous_ops_per_sec,keyspace_hits,keyspace_misses,hitRate,used_memory,evicted_keys,MemoryFragmentationRatio,keyspace,totalExecutionTime
1,9,0,2,0,549144,0,9.4280261643576,2,0.00075507164001465
42199,11841,21562,20638,0.51094786729858,1049488,16439,4.9332093363621,4199,5.6465921401978
84398,11314,44162,40237,0.52325264517352,1049488,36038,4.9332093363621,4199,11.402482032776
126597,11045,66828,59770,0.52787563784578,1049576,55570,4.9327957194143,4200,17.183964014053
168796,11348,89358,79439,0.52938144635272,1049576,75239,4.9327957194143,4200,22.924046993256
210995,11381,112021,98975,0.53091527801475,1049488,94776,4.9332093363621,4199,28.571521043777
253194,10731,134531,118661,0.53133985275996,1049488,114462,4.9332093363621,4199,34.275965929031
295393,11441,157336,138053,0.53264001029151,1049488,133854,4.9332093363621,4199,39.966726064682
337592,11405,179865,157722,0.53279599036693,1049576,153522,4.9327957194143,4200,45.55748796463
379791,10950,202551,177234,0.53333070026462,1049488,173035,4.9332093363621,4199,51.289659976959
421990,11140,225157,196826,0.53356888784619,1049488,192627,4.9332093363621,4199,57.001546144485
464189,11441,247913,216269,0.53408576808235,1049488,212070,4.9332093363621,4199,64.427726984024
506388,10952,270551,235828,0.53428558451279,1049488,231629,4.9332093363621,4199,70.094689130783
548587,11330,293079,255496,0.53425511552659,1049488,251297,4.9332093363621,4199,75.617120027542
590786,11525,315654,275119,0.53430674726164,1049576,270919,4.9327957194143,4200,81.344502925873
632985,11422,338233,294737,0.53435865838823,1049576,290537,4.9327957194143,4200,86.918498039246
675184,11455,360667,314501,0.53418852789232,1049488,310302,4.9332093363621,4199,92.481950044632
717383,11156,383549,333818,0.53466217431245,1049488,329619,4.9332093363621,4199,98.05669593811
759582,11181,406224,353340,0.53481207640173,1049488,349141,4.9332093363621,4199,103.54952096939
801781,11626,428862,372900,0.53489938410651,1049576,368700,4.9327957194143,4200,109.10123705864
843980,11841,451523,392435,0.53500648136519,1049488,388236,4.9332093363621,4199,116.54956698418
886179,11275,474109,412047,0.53501753641571,1049576,407847,4.9327957194143,4200,122.20954704285
928378,11079,496595,431760,0.53491929272746,1049488,427561,4.9332093363621,4199,128.01297307014
970577,11726,519469,451085,0.53522936384786,1049576,446885,4.9327957194143,4200,133.60138511658
1012776,10736,541846,470907,0.53502285354869,1049576,466707,4.9327957194143,4200,139.43821406364
1054975,10765,564580,490371,0.53517177575072,1049488,486172,4.9332093363621,4199,145.0619020462
1097174,11133,587432,509714,0.53541825791645,1049488,505515,4.9332093363621,4199,152.64912605286
1139373,11160,610038,529306,0.53542915923549,1049488,525107,4.9332093363621,4199,158.2478530407
1181572,10931,632502,549040,0.53531909995582,1049488,544841,4.9332093363621,4199,163.94803500175
1223771,11103,655191,568549,0.5354004935689,1049488,564350,4.9332093363621,4199,169.63125801086
1265970,12164,677816,588122,0.53542590553408,1049576,583922,4.9327957194143,4200,175.05528497696
1308169,12131,700330,607807,0.53536441519504,1049488,603608,4.9332093363621,4199,180.13954114914
1350368,12188,723016,627320,0.53543414379828,1049488,623121,4.9332093363621,4199,185.16490292549
1392567,12332,745481,647052,0.53534171183017,1049576,642852,4.9327957194143,4200,190.24058699608
1434766,12058,768076,666656,0.53534458003307,1049488,662457,4.9332093363621,4199,195.35233712196
1476965,12334,790482,686448,0.53521967865776,1049576,682248,4.9327957194143,4200,200.4303150177
1519164,11955,813123,706006,0.53525605791213,1049488,701807,4.9332093363621,4199,205.5999379158
1561363,12162,835669,725659,0.53522962503715,1049488,721460,4.9332093363621,4199,210.65621900558
1603562,12472,858137,745389,0.53515627436038,1049576,741189,4.9327957194143,4200,215.78988194466
1645761,11514,880707,765018,0.535148338878,1049488,760819,4.9332093363621,4199,221.14689612389
1687960,12231,903136,784787,0.535057582603,1049488,780588,4.9332093363621,4199,226.26142311096
1730159,11941,925779,804343,0.53509463494482,1049488,800144,4.9332093363621,4199,231.33458399773
1772358,11928,948260,824061,0.53503851728891,1049488,819862,4.9332093363621,4199,236.584856987
1814557,12247,971068,843452,0.53516522275864,1049488,839253,4.9332093363621,4199,241.65956997871
1856756,11893,993582,863136,0.5351281131545,1049488,858937,4.9332093363621,4199,246.796033144
1898955,12193,1016088,882829,0.53508815814488,1049488,878630,4.9332093363621,4199,251.86931800842
1941154,12266,1038566,902549,0.53503579128491,1049576,898349,4.9327957194143,4200,256.96415114403
1983353,12264,1061005,922308,0.53496598872694,1049488,918109,4.9332093363621,4199,262.1256480217
2025552,12261,1083750,941762,0.53504990343182,1049488,937563,4.9332093363621,4199,267.20761013031
2067751,11990,1106290,961421,0.53503124953149,1049576,957221,4.9327957194143,4200,272.32933402061
